name,name_local,star_rating,meal_plan,meal_plan_local,room_type,room_type_local,ht_place,price,original_price,check_in,check_out,nights,departure,full_number,hotel_inc,town_inc,star_inc,econom_in,econom_out,spog,cat_claim,cat_claim_inc,scraped_at
Blue Heaven Beach Apart,Blue Heaven Beach Apart,***,RO,RO,Family Suite,Family Suite,2 PAX,1335.1,1157.1,2026-07-02T00:00:00,2026-07-09T00:00:00,7,AAL,AAL-1-AYT,89,1944,3,2,2,286675,0x430A0000005200000007AA000000090000002200000000000B8549B47B000000045FD30700000059000001580000000F0000000900000000000000000000000100001DB8B4820000070000000000CBB8580000000302020000636363B47B0000B482000002000000000600000000000000000000000000000000000000000000000000000000,755017,2026-06-22T11:46:58.150014
Lemas Suite Hotel(Ex. Lemas Suite Hotel By Kulabey),Lemas Suite Hotel(Ex. Lemas Suite Hotel By Kulabey),***,RO,RO,Standard Twin Room,Standard Twin Room,DBL,1360.89,1138.89,2026-07-02T00:00:00,2026-07-09T00:00:00,7,AAL,AAL-426-AYT,1580,1239,3,2,2,293758,0x430A0000005200000007AA000000090000002200000000003472C9B47B000000047B7E070000062C00000988000000040000000900000000000000000000000100001BFEB4820000070000000000CFA7C40000000302020000636363B47B0000B482000002000000000600000000000000000000000000000000000000000000000000000000,3437257,2026-06-22T11:46:58.150019
Kleopatra Hotel,Kleopatra Hotel,***,BB,BB,STANDARD ROOM,STANDARD ROOM,DBL,1364.32,1142.32,2026-07-02T00:00:00,2026-07-09T00:00:00,7,AAL,AAL-308-AYT,419,1446,3,2,2,291624,0x430A0000005200000007AA00000009000000220000000000010B21B47B00000004732807000001A300000004000000040000000400000000000000000000000100001BFEB4820000070000000000D02DC00000000302020000636363B47B0000B482000002000000000600000000000000000000000000000000000000000000000000000000,68385,2026-06-22T11:46:58.150024
Angora Apart Hotel,Angora Apart Hotel,***,RO,RO,Apart Room,Apart Room,2 PAX,1369.77,1147.77,2026-07-02T00:00:00,2026-07-09T00:00:00,7,AAL,AAL-1-AYT,1588,1446,3,2,2,286675,0x430A0000005200000007AA000000090000002200000000003496E4B47B000000045FD30700000634000000490000000F0000000900000000000000000000000100001BFEB4820000070000000000D102A40000000302020000636363B47B0000B482000002000000000600000000000000000000000000000000000000000000000000000000,3446500,2026-06-22T11:46:58.150030
Mitos Apart Hotel,Mitos Apart Hotel,***,RO,RO,STANDARD ROOM,STANDARD ROOM,DBL,812.67,1034.67,2026-06-26T00:00:00,2026-07-03T00:00:00,7,CPH,CPH-245-AYT,1096,1446,3,2,2,290722,0x430A000000520000000795000000090000001000000000006A1B66B475000000046FA2070000044800000004000000040000000900000000000000000000000100001E00B47C00000700000000007C00EC0000000302020000636363B4750000B47C000002000000000600000000000000000000000000000000000000000000000000000000,6953830,2026-06-22T11:47:00.218556
Lavinia Apart Hotel,Lavinia Apart Hotel,***,RO,RO,Apart Room 1+1,Apart Room 1+1,2 PAX,872.91,1094.91,2026-06-26T00:00:00,2026-07-03T00:00:00,7,CPH,CPH-51-AYT,443,1446,3,2,2,287561,0x430A0000005200000007950000000900000010000000000014AC5AB47500000004634907000001BB0000004A0000000F0000000900000000000000000000000100001E00B47C000007000000000085320C0000000302020000636363B4750000B47C000002000000000600000000000000000000000000000000000000000000000000000000,1354842,2026-06-22T11:47:00.218577
Kleopatra Bavyera Hotel,Kleopatra Bavyera Hotel,***,BB,BB,Economy Room,Economy Room,DBL,873.67,1095.67,2026-06-28T00:00:00,2026-07-05T00:00:00,7,CPH,CPH-543-AYT,80,1446,3,1,1,295635,0x430A0000005200000007950000000900000010000000000014B5C7B4770000000482D3070000005000000016000000040000000400000000000000000000000100001E00B47E0000070000000000854FBC0000000302020000636363B4770000B47E000002000000000600000000000000000000000000000000000000000000000000000000,1357255,2026-06-22T11:47:00.218583
Kleopatra Bebek Hotel,Kleopatra Bebek Hotel,***,BB,BB,Economy Room,Economy Room,DBL,873.67,1095.67,2026-06-28T00:00:00,2026-07-05T00:00:00,7,CPH,CPH-544-AYT,81,1446,3,1,1,295647,0x430A0000005200000007950000000900000010000000000014B5E3B4770000000482DF070000005100000016000000040000000400000000000000000000000100001E00B47E0000070000000000854FBC0000000302020000636363B4770000B47E000002000000000600000000000000000000000000000000000000000000000000000000,1357283,2026-06-22T11:47:00.218588
Sunway Apart Hotel,Sunway Apart Hotel,***,RO,RO,Apart Room 1+1,Apart Room 1+1,2 PAX,874.67,1096.67,2026-06-26T00:00:00,2026-07-03T00:00:00,7,CPH,CPH-51-AYT,256,1446,3,2,2,287561,0x430A000000520000000795000000090000001000000000001489B6B47500000004634907000001000000004A0000000F0000000900000000000000000000000100001E00B47C00000700000000008576CC0000000302020000636363B4750000B47C000002000000000600000000000000000000000000000000000000000000000000000000,1345974,2026-06-22T11:47:00.218594
Kleopatra Hotel,Kleopatra Hotel,***,BB,BB,STANDARD ROOM,STANDARD ROOM,DBL,895.1,1117.1,2026-06-26T00:00:00,2026-07-03T00:00:00,7,CPH,CPH-305-AYT,419,1446,3,2,2,291619,0x430A0000005200000007950000000900000010000000000001C03AB47500000004732307000001A300000004000000040000000400000000000000000000000100001E00B47C00000700000000008894D80000000302020000636363B4750000B47C000002000000000600000000000000000000000000000000000000000000000000000000,114746,2026-06-22T11:47:00.218599
